Manastur,45,2,250
Gheorgheni,60,2,270
Manastur,28,1,200
Floresti,50,2,250
Floresti,52,2,250
Sopor,78,3,615
Sopor,56,2,460
Marasti,50,2,380
Manastur,90,3,400
Manastur,75,3,400
Manastur,50,2,360
Buna Ziua,48,2,390
Centru,37,1,390
Gheorgheni,55,2,270
Manastur,41,2,300
Gheorgheni,46,2,400
Marasti,65,3,475
Someseni,65,2,280
Grigorescu,72,3,370
Intre Lacuri,70,2,450
Manastur,27,1,350
Gheorgheni,54,2,320
Manastur,70,3,330
Gheorgheni,60,2,380
Gheorgheni,40,1,295
Buna Ziua,53,2,340
Buna Ziua,60,2,375
Manastur,73,3,400
Manastur,52,2,275
Floresti,50,2,250
Manastur,70,3,330
Gheorgheni,40,3,260
Andrei Muresanu,50,2,400
Gheorgheni,50,2,330
Buna Ziua,78,3,370
Gheorgheni,60,3,370
Gheorgheni,64,3,490
Manastur,64,3,500
Manastur,45,2,380
Gheorgheni,60,3,370
Gheorgheni,64,3,490
Manastur,64,3,500
Manastur,45,2,380
Zorilor,35,1,300
Floresti,50,2,230
Gheorgheni,60,2,400
Grigorescu,57,2,300
Marasti,55,2,360
Marasti,24,1,300
Marasti,40,1,340
Grigorescu,60,3,390
Europa,57,2,400
Marasti,30,1,240
Manastur,45,3,425
Grigorescu,62,2,500
Buna Ziua,48,2,360
Buna Ziua,47,2,350
Manastur,30,1,240
Zorilor,48,2,300
Andrei Muresanu,78,3,490
Buna Ziua,60,2,460
Manastur,48,2,420
Andrei Muresanu,50,1,370
Zorilor,60,2,500
Intre Lacuri,56,2,470
Zorilor,67,3,450
Manastur,55,3,300
Intre Lacuri,54,2,400
Marasti,72,3,378
Marasti,53,2,300
Buna Ziua,70,3,490
Gheorgheni,38,3,350
Buna Ziua,80,3,580
Manastur,70,3,380
Gheorgheni,82,3,550
Marasti,63,2,360
Gheorgheni,78,3,300
Floresti,57,2,250
Marasti,75,3,400
Manastur,72,3,450
Gheorgheni,52,2,450
Manastur,70,3,330
Manastur,70,3,360
Centru,35,1,284
Manastur,68,2,500
Zorilor,33,1,270
Someseni,100,4,500
Gheorgheni,46,2,300
Marasti,65,3,380
Zorilor,30,1,200
Manastur,39,1,300
Gheorgheni,56,2,500
Gheorgheni,50,2,280
Buna Ziua,60,3,400
Marasti,68,3,400
Grigorescu,70,3,350
Gheorgheni,45,2,430
Manastur,52,2,350
Marasti,54,2,360
Gheorgheni,60,3,375
Centru,45,2,350
Grigorescu,52,2,300
Floresti,49,2,260
Marasti,65,3,550
Manastur,57,3,350
Manastur,45,2,350
Centru,50,2,390
Centru,45,2,380
Centru,54,2,275
Gheorgheni,53,2,270
Centru,40,1,300
Manastur,57,3,330
Zorilor,55,2,320
Manastur,82,4,450
Gheorgheni,54,2,390
Gheorgheni,50,2,340
Marasti,55,3,280
Gheorgheni,30,2,260
Manastur,43,2,320
Buna Ziua,37,1,400
Marasti,50,2,380
Zorilor,64,3,350
Marasti,72,3,500
Centru,52,2,450
Zorilor,58,2,550
Manastur,48,1,300
Manastur,60,2,450
Manastur,40,1,270
Someseni,50,2,330
Gheorgheni,63,2,500
Manastur,58,3,300
Manastur,48,2,300
Manastur,46,2,320
Manastur,110,3,590
Manastur,45,2,300
Centru,25,1,300
Marasti,36,2,380
Marasti,60,3,500
Manastur,65,3,340
Manastur,43,2,270
Centru,52,2,400
Marasti,60,2,320
Centru,52,2,400
Gheorgheni,60,2,460
Marasti,50,2,360
Centru,10,1,250
Gheorgheni,55,2,550
Gheorgheni,55,2,500
Marasti,60,3,440
Marasti,65,3,350
Manastur,55,3,300
Intre Lacuri,54,2,400
Marasti,72,3,378
Manastur,28,1,200
Marasti,53,2,300
Buna Ziua,70,3,490
Gheorgheni,38,3,350
Manastur,70,3,380
Centru,31,1,330
Gheorgheni,82,3,550
Manastur,30,1,200
Marasti,63,2,360
Gheorgheni,78,3,300
Floresti,57,2,250
Marasti,75,3,400
Manastur,72,3,450
Gheorgheni,52,2,450
Manastur,70,3,330
Manastur,70,3,360
Centru,35,1,284
Manastur,68,2,500
Gheorgheni,28,1,190
Marasti,17,1,180
Zorilor,33,1,270
Someseni,100,4,500
Gheorgheni,46,2,300
Marasti,65,3,380
Zorilor,30,1,200
Centru,30,1,300
Gheorgheni,56,2,500
Gheorgheni,50,2,280
Buna Ziua,60,3,400
Marasti,22,1,180
Marasti,22,1,230
Marasti,68,3,400
Marasti,24,1,200
Grigorescu,70,3,350
Centru,64,2,400
Gheorgheni,45,2,430
Manastur,52,2,350
Marasti,54,2,360
Gheorgheni,60,3,375
Centru,45,2,350
Marasti,15,1,162
Grigorescu,52,2,300
Floresti,49,2,260
Marasti,65,3,550
Manastur,57,3,350
Manastur,45,2,330
Centru,50,2,390
Centru,45,2,380
Gheorgheni,11,1,142
Gheorgheni,53,2,270
Manastur,28,1,280
Manastur,57,3,330
Zorilor,55,2,320
Manastur,82,2,450
Gheorgheni,54,2,390
Gheorgheni,50,2,340
Marasti,55,3,280
Gheorgheni,30,2,260
Manastur,43,2,320
Buna Ziua,37,1,400
Marasti,22,1,200
Marasti,50,2,380
Zorilor,64,3,350
Marasti,72,3,500
Centru,52,2,450
Zorilor,58,2,550
Marasti,24,1,220
Manastur,48,1,300
Manastur,60,2,450
Manastur,40,1,270
Someseni,50,2,330
Gheorgheni,63,2,500
Manastur,58,3,300
Manastur,48,2,270
Manastur,45,2,300
Manastur,72,3,370
Manastur,28,1,200
Manastur,70,4,400
Floresti,37,1,200
Manastur,51,2,330
Gheorgheni,35,2,250
Intre Lacuri,78,3,450
Grigorescu,50,2,330
Someseni,100,2,500
Gheorgheni,46,2,300
Marasti,65,3,380
Zorilor,30,1,200
Centru,39,1,300
Gheorgheni,56,2,500
Gheorgheni,50,2,280
Buna Ziua,60,3,400
Marasti,22,1,180
Marasti,22,1,230
Marasti,68,3,400
Marasti,24,1,200
Grigorescu,70,3,350
Centru,64,2,400
Gheorgheni,45,2,430
Manastur,52,2,350
Marasti,54,2,360
Gheorgheni,60,3,375
Centru,45,2,350
Marasti,15,1,162
Grigorescu,52,2,300
Floresti,49,2,260
Marasti,65,3,550
Manastur,57,3,350
Manastur,45,2,350
Centru,50,2,390
Centru,45,2,380
Gheorgheni,11,1,142
Centru,53,2,270
Manastur,28,1,280
Manastur,57,3,330
Zorilor,55,2,320
Manastur,82,4,450
Gheorgheni,54,2,390
Gheorgheni,50,2,340
Marasti,55,3,280
Gheorgheni,30,2,260
Manastur,43,2,320
Buna Ziua,37,1,400
Marasti,22,1,200
Marasti,50,2,380
Zorilor,64,3,350
Marasti,72,3,500
Centru,52,2,450
Zorilor,58,2,550
Marasti,24,1,220
Manastur,48,1,300
Manastur,60,2,450
Manastur,40,1,270
Someseni,50,2,330
Gheorgheni,63,2,500
Manastur,58,3,300
Manastur,48,2,300
Manastur,46,2,320
Manastur,45,2,300
Manastur,40,2,300
Manastur,72,3,370
Manastur,65,3,450
Manastur,28,1,200
Manastur,70,4,400
Floresti,37,1,200
Manastur,51,2,330
Gheorgheni,35,2,250
Intre Lacuri,78,3,450
Grigorescu,50,2,330
Marasti,37,1,265
Manastur,36,2,320
Manastur,91,4,390
Gheorgheni,45,3,370
